,end_date,count
0,2023-12-10 16:00,6
1,2023-12-10 16:15,1
2,2023-12-11 09:45,7
3,2023-12-11 10:45,1
4,2023-12-11 11:00,1
5,2023-12-11 11:30,1
6,2023-12-11 11:45,23
7,2023-12-11 12:30,3
8,2023-12-11 13:15,1
9,2023-12-11 13:45,3
10,2023-12-11 14:15,15
11,2023-12-11 15:15,5
12,2023-12-11 15:45,1
13,2023-12-11 16:00,4
14,2023-12-11 16:15,34
15,2023-12-12 11:45,17
16,2023-12-12 13:00,64
17,2023-12-12 14:15,25
18,2023-12-12 15:00,16
19,2023-12-12 15:15,1
20,2023-12-12 16:00,5
21,2023-12-12 16:15,22
22,2023-12-12 17:15,3
23,2023-12-12 18:00,16
24,2023-12-12 19:45,1
25,2023-12-13 09:45,14
26,2023-12-13 10:00,115
27,2023-12-13 10:45,50
28,2023-12-13 11:45,17
29,2023-12-13 12:30,1
30,2023-12-13 14:15,16
31,2023-12-13 15:15,5
32,2023-12-13 16:00,7
33,2023-12-13 16:15,18
34,2023-12-13 17:00,1
35,2023-12-13 18:00,2
36,2023-12-13 19:45,1
37,2023-12-14 09:45,9
38,2023-12-14 10:45,1
39,2023-12-14 11:45,26
40,2023-12-14 12:30,1
41,2023-12-14 14:15,17
42,2023-12-14 15:00,50
43,2023-12-14 15:15,6
44,2023-12-14 16:00,5
45,2023-12-14 16:15,34
46,2023-12-14 18:00,14
47,2023-12-15 09:45,8
48,2023-12-15 10:45,3
49,2023-12-15 11:45,21
50,2023-12-15 13:15,1
51,2023-12-15 14:15,16
52,2023-12-15 15:15,5
53,2023-12-15 16:00,4
54,2023-12-15 16:15,16
55,2023-12-15 17:15,1
56,2023-12-15 18:00,10
57,2023-12-15 19:45,3
